Plugin,Menu,Section,Type,English,Japanese
DalamudACT,Captured,,Text/RenderTextWrapped,/dps,/dps
DalamudACT,Captured,,Text/RenderTextWrapped,/dps dps,/dps dps
DalamudACT,Captured,,Text/RenderTextWrapped,/dps help,/dps help
DalamudACT,Captured,,Text/RenderTextWrapped,/dps settings,/dps settings
DalamudACT,Captured,,Text/RenderTextWrapped,/dps skills,/dps skills
DalamudACT,Captured,,Text/RenderTextWrapped,/dps status,/dps status
DalamudACT,Captured,,Text/RenderTextWrapped,/dps time,/dps time
DalamudACT,Captured,,Text/RenderTextWrapped,/dps timeline,/dps timeline
DalamudACT,Captured,,Text/RenderTextWrapped,100px,100px
DalamudACT,Captured,,Selectable,"115 ""准备集合放黄圈"" Timer { }",115「集合して黄円を置く準備」Timer { }
DalamudACT,Captured,,Text/RenderTextWrapped,24px,24px
DalamudACT,Captured,,Text/RenderTextWrapped,44px,44px
DalamudACT,Captured,,Text/RenderTextWrapped,48px,48px
DalamudACT,Captured,,Text/RenderTextWrapped,62px,62px
DalamudACT,Captured,,Text/RenderTextWrapped,73px,73px
DalamudACT,Captured,,Text/RenderTextWrapped,CD数字大小,CD数字サイズ
DalamudACT,Captured,,Selectable,Classic（经典表格）,Classic（クラシック表）
DalamudACT,Captured,,RenderTextWrapped,DPS,DPS
DalamudACT,Captured,,RenderTextWrapped,DPS列,DPS列
DalamudACT,Captured,,RenderTextWrapped,DPS統計,DPS統計
DalamudACT,Captured,,Text/RenderTextWrapped,DPS统计刷新间隔,DPS統計更新間隔
DalamudACT,Captured,,Text/RenderTextWrapped,DalamudACT,DalamudACT
DalamudACT,Captured,,RenderTextWrapped,HPS,HPS
DalamudACT,Captured,,Selectable,Ikegami,Ikegami
DalamudACT,Captured,,Selectable,Minimal（极简样式）,Minimal（ミニマル）
DalamudACT,Captured,,Text/RenderTextWrapped,NPC 队友识别名单,味方NPC識別リスト
DalamudACT,Captured,,Text/RenderTextWrapped,TTS纠偏说明,TTS補正の説明
DalamudACT,Captured,,Text/RenderTextWrapped,Timer 时间标记,Timer 時刻マーカー
DalamudACT,Captured,,Text/RenderTextWrapped,"by Shiyuvi, Anmi","by Shiyuvi, Anmi"
DalamudACT,Captured,,Text/RenderTextWrapped,release version,release version
DalamudACT,Captured,,Text/RenderTextWrapped,“玩家 + 敌方 NPC” 模式下会隐藏友方 NPC，只保留玩家与敌方对象。,「プレイヤー + 敵NPC」モードでは味方NPCを非表示にし、プレイヤーと敵だけを表示します。
DalamudACT,Captured,,RenderTextWrapped,上下中央,上下中央
DalamudACT,Captured,,Text/RenderTextWrapped,不依赖任何游戏事件，纯按战斗时间显示的条目，播报归“播报应对方案”控制。,ゲームイベントに依存せず、戦闘時間だけで表示する項目です。読み上げは「対処方法を読み上げ」の設定に従います。
DalamudACT,Captured,,Checkbox/RenderText,中间学派,ニュートラルセクト
DalamudACT,Captured,,Checkbox/RenderText,义结金兰,桃園結義
DalamudACT,Captured,,Checkbox/RenderText,介毒之术,毒盛の鎖
DalamudACT,Captured,,Text/RenderTextWrapped,以上都是极简样式专属属性。,以上はすべてMinimalスタイル専用設定です。
DalamudACT,Captured,,Checkbox/RenderText,伤害统计,ダメージ統計
DalamudACT,Captured,,Text/RenderTextWrapped,伤害量列宽,ダメージ量の列幅
DalamudACT,Captured,,Button,低延迟##refresh_preset_fast,低遅延##refresh_preset_fast
DalamudACT,Captured,,Button,低负载##refresh_preset_low,低負荷##refresh_preset_low
DalamudACT,Captured,,Checkbox/RenderText,光之心,ハート・オブ・ライト
DalamudACT,Captured,,Checkbox/RenderText,光明神的最终乐章,光神のフィナーレ
DalamudACT,Captured,,Checkbox/RenderText,全大赦,インドゥルゲンティア
DalamudACT,Captured,,Text/RenderTextWrapped,关闭“高亮 NPC 行”后，NPC 会回退到普通条形配色与默认文本颜色。,「NPC行を強調」を無効にすると、NPCは通常のバー配色と既定の文字色に戻ります。
DalamudACT,Captured,,Text/RenderTextWrapped,关闭后降低高特效战斗压力，但 DoT、野火等持续/延迟伤害会更不准。高性能模式会临时停用。,無効にすると高エフェクト戦闘時の負荷は下がりますが、DoTやワイルドファイアなどの継続／遅延ダメージ精度が低下します。高性能モードでは一時的に無効化されます。
DalamudACT,Captured,,RadioButtonBool,减伤##cat_mit,軽減##cat_mit
DalamudACT,Captured,,Text/RenderTextWrapped,切换 DPS 统计悬浮窗。,DPS統計フローティングウィンドウを切り替えます。
DalamudACT,Captured,,Text/RenderTextWrapped,切换时间轴悬浮窗。,タイムラインのフローティングウィンドウを切り替えます。
DalamudACT,Captured,,Text/RenderTextWrapped,切换状态监控窗口。,ステータス監視ウィンドウを切り替えます。
DalamudACT,Captured,,Text/RenderTextWrapped,切换设置面板。,設定パネルを切り替えます。
